,id,uuid,creationDate,lastChangeDate,birthYear,lastNegotiation,gender,educationId,driverLicenseTypes,hasVehicle,compensation,compensationCurrencyCode,roadTimeType,businessTripReadiness,workSchedules,employments,workExperience,workExperienceMonthCount,relocation,metroStationName,resumeSpecializations,relocationAreas,languageLevels
695,3437,3c7d8f3e-2c89-4e2f-8eba-cb2b18fcbf83,2010-01-21,2021-06-15,1989.0,2019-10-11,0,1,[],,,,1,1,"[0, 1, 2]",[0],3,82,0,Prospekt Bol'shevikov,"[82, 211, 273]",{},"['12.34', '6.57']"
696,5519,3c92a3f3-e146-4c11-a71b-d266d62a68d4,2015-02-16,2018-03-28,1958.0,2018-03-05,0,1,[],,70000.0,RUR,0,1,[0],[0],3,403,1,,[387],{},['12.34']
697,4031,3cba53f4-54c1-4737-a20f-c877386c2171,2015-03-26,2021-03-21,1971.0,2017-05-18,0,6,[],,40000.0,RUR,0,1,[0],[0],2,47,0,,"[149, 242]",{},['12.34']
698,4656,3ccb8fb5-3e03-43fc-9946-b1731b1b49b7,2015-09-08,2021-07-05,1993.0,2021-08-09,1,1,[],0.0,30000.0,RUR,0,1,[0],[0],3,80,1,Bezymjanka,[425],"[2, 53, 1440, 1460, 2377]","['12.34', '6.57']"
699,3056,3cddcb64-b9eb-4c90-bbdd-88770f742046,2013-11-14,2017-04-20,1982.0,2017-04-22,1,1,{},,,,0,0,[2],[1],3,189,0,Lesnaja,"[47, 278, 429]",{},"['12.34', '6.43', '11.57']"
700,5759,3d28a53b-9755-42fe-a8a4-504b6e33cc1c,2008-12-02,2018-02-10,1984.0,2016-07-20,0,6,[],,80000.0,RUR,1,2,"[0, 1, 2, 3]","[0, 1, 2]",3,168,1,Chernaja rechka,[273],{},"['12.34', '9.57']"
701,4504,3d4d61ab-4967-4118-be62-4e15e7dbd0c1,2011-05-29,2021-04-10,1952.0,2015-05-29,1,6,[],,,,0,1,[2],[1],3,428,1,Petrogradskaja,"[20, 70, 445]",{},"['9.8', '12.34', '9.51', '6.57', '6.59']"
702,4156,3d58f9b6-631d-40ac-b6ba-e8944a9ac58b,2009-09-21,2017-04-26,1986.0,2010-12-27,0,1,{},,1500.0,EUR,2,0,[0],[0],2,67,1,Slavjanskij bul'var,[131],[2],"['12.34', '9.57']"
703,3140,3d7e262c-5dc4-4587-9db3-8af56c5240e7,2015-01-31,2017-08-28,1989.0,2017-08-14,1,1,{},,60000.0,RUR,0,0,[0],[0],2,73,2,,"[43, 463, 464]","[1, 2]",['12.34']
704,4222,3d87a059-7197-4400-9b14-b21dc3e613ff,2012-12-21,2021-03-30,1973.0,2021-04-16,1,1,['B'],1.0,20000.0,RUR,0,0,"[3, 2]",[1],3,225,0,,"[335, 343, 469]",{},['12.34']
705,4476,3d895fe9-f6c6-42f5-87cd-7f7716f9cf43,2014-08-20,2020-09-24,1974.0,2019-11-21,1,1,[],,,,0,1,"[0, 1, 2]",[0],3,314,0,,[336],{},['12.34']
706,3846,3d9272e2-a76a-4788-9570-1ce0adab7e61,2014-04-04,2017-07-09,1985.0,2019-08-16,0,1,{},,,,0,1,[0],[0],3,110,1,,"[172, 221]","[2, 4, 11]","['12.34', '6.57']"
